X,Y,Price,Square_Feet,Address,Date_Sold
-111.975933,34.699039,"$320,000","1,090","4587 E Verde View Dr, Cottonwood, AZ 86326",8/25/2022
-112.111637,34.315209,"$320,000","1,586","20063 E Pinto Dr, Mayer, AZ 86333",11/14/2022
-112.026636,34.718991,"$320,000","1,408","1130 S Vista Grande Dr, Cottonwood, AZ 86326",8/31/2022
-112.471247,34.545302,"$320,000","1,642","317 1/2 Granite St W, Prescott, AZ 86303",11/17/2022
-112.312751,34.594578,"$320,200","1,214","3556 N Needles Dr, Prescott Valley, AZ 86314",12/9/2022
-112.007466,34.720076,"$322,000","1,327","1769 E Arroyo Seco, Cottonwood, AZ 86326",9/8/2022
-112.155153,34.343886,"$322,000","1,542","17508 E Jackrabbit Rd, Mayer, AZ 86333",12/14/2022
-111.770735,34.630068,"$324,500","1,148","4595 E Cochise Dr, Rimrock, AZ 86335",9/26/2022
-112.375745,34.569402,"$324,900","1,200","5125 E Sapphire Dr, Prescott, AZ 86301",11/2/2022
-112.570535,34.557107,"$325,000","960","1111 N High Point Dr, Prescott, AZ 86305",1/17/2023
-112.327374,34.610709,"$325,000","1,488","4681 N Granada Dr, Prescott Valley, AZ 86314",8/19/2022
-112.495012,34.474793,"$325,000","576","4490 S Indian Creek Rd, Prescott, AZ 86303",9/15/2022
-112.483112,34.574877,"$325,000","1,736","2006 Willow Creek Rd, Prescott, AZ 86301",2/10/2023
-112.600892,34.423992,"$325,000","1,200","7925 W Kensington Ln, Kirkland, AZ 86332",1/20/2023
-111.777,34.51538,"$325,000","1,654","4381 E Valley View Rd, Camp Verde, AZ 86322",9/28/2022
-112.012449,34.704917,"$325,000","1,496","1918 S Arroya Vista Dr, Cottonwood, AZ 86326",10/18/2022
-112.152198,34.34286,"$325,000","1,298","17689 E Jackrabbit Rd, Mayer, AZ 86333",10/24/2022
-112.397726,34.450832,"$325,000","737","3840 E Rich Gulch Ln, Prescott, AZ 86303",9/28/2022
-112.82412,34.102877,"$325,000","1,368","30841 S Vagabond Trl, Congress, AZ 85332",12/9/2022
-112.007908,34.720383,"$325,000","1,360","1728 E Arroyo Seco, Cottonwood, AZ 86326",9/7/2022
-111.867874,34.55908,"$325,000","1,226","780 W Azure Dr, Camp Verde, AZ 86322",9/15/2022
-112.426667,34.470412,"$325,000","779","2008 E Empire Rd, Prescott, AZ 86303",10/12/2022
-112.427121,34.424023,"$327,000","2,123","8510 S Senator Hwy, Prescott, AZ 86303",11/9/2022
-112.359685,34.584732,"$327,500","1,496","2851 N Kings Hwy UNIT 2, Prescott Valley, AZ 86314",12/27/2022
-112.357817,34.584279,"$327,500","1,496","2851 N Kings Hwy E, Prescott Valley, AZ 86314",12/27/2022
-112.358248,34.590607,"$329,000","1,170","3215 N Tower Rd, Prescott Valley, AZ 86314",11/15/2022
-112.752995,34.222052,"$329,000","1,268","16947 W Willow Ave, Yarnell, AZ 85362",9/16/2022
